상품명,실제_분야,예측_분야
드라큘라,소설,소설
예측의 기술,자기계발,인문
JLPT(일본어능력시험) 한권으로 끝내기 N1,외국어,외국어
잘잘잘 건강,건강,소설
죽음의 수용소에서,시/에세이,소설
ETS 토익 정기시험 기출문제집 1000 Vol 5 RC,외국어,외국어
2027 단계별기출 핵심지문 박철한 경찰헌법 OX 시즌5,취업/수험서,취업/수험서
The Scent of Page : 차량용 방향제(개선판),책향,소설
"요즘 AI 루프 엔지니어링, 클로드 코드, 스킬, MCP, 훅, 컨텍스트, 하네스, 리뷰, 오케스트레이션, LLMOps, Langfuse",컴퓨터/IT,컴퓨터/IT
명상록,인문,인문
이방인(초판본)(1944년 오리지널 초판본 표지디자인),소설,소설
사라진 근대사 100장면 1: 몰락의 시대,역사/문화,소설
"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급)(상)",인문,인문
오십에 읽는 논어,인문,인문
말의 권력,정치/사회,소설
2026 단기 합격 해커스공기업 NCS 통합 기본서(모듈형+피듈형+PSAT형+모의고사 6회분),취업/수험서,취업/수험서
코스모스(100만부 기념판),과학,소설
2027 해커스공무원 금나나 행정학 기본서 세트,취업/수험서,취업/수험서
호랑이를 부탁해,어린이(초등),소설
나는 도대체 왜 눈치를 볼까,자기계발,소설
원씽(The One Thing)(60만 부 기념 스페셜 에디션),자기계발,소설
ETS 토익 단기공략 650+(LC+RC),외국어,외국어
푸른 사자 와니니 9: 암사자 말라이카,어린이(초등),소설
주의를 기울이는 법,인문,소설
여름 편집 후기,소설,소설
주술회전 모듈로 2: 두라 바르 보비디 메치카,만화,소설
2026 해커스공기업 한국전력공사 KEPCO NCS+전공 봉투모의고사 6+5회,취업/수험서,취업/수험서
2026 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사 (수리/추리),취업/수험서,취업/수험서
나는 소망한다 내게 금지된 것을,소설,소설
너의 행복은 나의 기쁨이야,시/에세이,소설
"안녕, 피터팬",시/에세이,소설
2027 해커스소방 김정희 소방관계법규 단원별 실전문제집,취업/수험서,취업/수험서
해가 지는 곳으로,소설,소설
2027 해커스경찰 신동욱 경찰헌법 기본서,취업/수험서,취업/수험서
투명한 나선,소설,소설
아몬드(청소년),청소년,소설
똑똑한 사람은 어떻게 말하는가,자기계발,소설
위대한 개츠비,소설,소설
Hatchet (1988 Newbery Honor),문학,소설
사업의 철학(10주년 기념판),경제/경영,인문
테니스나무,소설,소설
신 퇴마록 신세편 3,소설,소설
와일드,시/에세이,소설
디스 이즈 도쿄(2026~2027),여행,취업/수험서
쥬디 할머니(한지 에디션),소설,소설
죄와 벌 1,소설,소설
종의 기원,소설,인문
돈,경제/경영,소설
조용히 해내는 사람,시/에세이,소설
아름다운 것들은 비밀을 품고 있다,예술/대중문화,인문
담배 고양이 7,만화,소설
달리기를 말할 때 내가 하고 싶은 이야기,시/에세이,소설
모든 주식을 소유하라(리커버판),경제/경영,소설
Wonder,유아/아동/청소년,소설
너를 아끼며 살아라,시/에세이,소설
한번 시작하면 잠들 수 없는 세계사(미드나잇 블루 에디션),역사/문화,소설
2026 시대에듀 공공조달관리사 필기 한권으로 끝내기,취업/수험서,인문
멜로우TV 팀나빠 1: 나사 빠진 친구들,어린이(초등),소설
불안(리커버:K),시/에세이,소설
해커스 토익 최신기출유형 실전 10회 LC(리스닝)(모의고사+해설집),외국어,외국어
이상한 지도,소설,소설
다음시대 교회 인사이트 2027,종교,취업/수험서
2027 심슨 문법,취업/수험서,취업/수험서
삐뽀삐뽀 119 이유식,요리,소설
세종의 나라 2,소설,소설
경찰 헌법도약,취업/수험서,취업/수험서
뒤틀린 사랑,소설,소설
"수의사 어벤저스 1: 반려견, 심장을 지켜라!",어린이(초등),소설
데이즈드 앤 컨퓨즈드(2026년 10월호)(A형),잡지,소설
고추장 심부름,어린이(초등),소설
EBS 입이 트이는 영어 (2026년 10월),잡지,취업/수험서
"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",인문,인문
아주 작은 습관의 힘(50만 부 기념 스페셜 에디션),자기계발,소설
어린이 가을말 사전,어린이(초등),소설
해커스 JLPT(일본어능력시험) N3 한권합격,외국어,외국어
존 맥스웰 리더십 불변의 법칙(25주년 특별개정판),경제/경영,경제/경영
2027 김영북스 공부돼지 벼락치기 한능검 한국사능력검정시험 심화(1·2·3급),인문,인문
너무 빨리 배우는 아이들,가정/육아,소설
단 한 번의 삶(강물에디션 활판인쇄 한정판),시/에세이,소설
일본어 상용한자 무작정 따라하기 1,외국어,외국어
어린 왕자(초판본)(1943년 오리지널 초판본 표지디자인),소설,소설
미움받을 용기(200만 부 기념 스페셜 에디션),인문,소설
월가보다 먼저 움직이는 미국 주식 투자법,경제/경영,소설
그릿(50만부 판매 기념 리커버 골드에디션),자기계발,소설
데일리 필로소피,인문,소설
유하다요 JLPT N3 한 권 스피드 합격,외국어,외국어
정재승의 로봇 탐구 보고서 1~2권 세트,어린이(초등),소설
2027 공단기 소방단기 써니 행정법총론 기출문제집 세트,취업/수험서,취업/수험서
2027 선재국어 신유형 매일 국어 1,취업/수험서,취업/수험서
GO! 독학 일본어 첫걸음,외국어,외국어
히스토리아 비테이,과학,소설
The Scent of Page : 핸드크림 50ML,책향,소설
2026 박문각 경찰 코칭 경찰면접,취업/수험서,취업/수험서
독끝 NCS 자료해석 400제(공기업 NCS/대기업 인적성 대비 독학으로 끝내는 수리능력&자료해석 PSAT),취업/수험서,취업/수험서
엄마가 유령이 되었어!,유아(0~7세),소설
사양,소설,소설
편집자의 책읽기,인문,소설
싫을 땐 싫다고 말해요,유아(0~7세),소설
최민준의 아들코칭 백과,가정/육아,소설
자기만의 방·3기니,시/에세이,소설
2027 해커스경찰 신동욱 경찰헌법 기출문제집,취업/수험서,취업/수험서
논어(무삭제 완역본),인문,인문
독성 인간,인문,소설
운동제어와 학습의 역동성,취미/실용/스포츠,소설
ETF 투자 혁명,경제/경영,소설
세종의 나라 1,소설,소설
Again! 뒤집어본 영문법,외국어,취업/수험서
2027대비 신호진 핵심기출 1000제 형법총론,취업/수험서,취업/수험서
사라진 근대사 100장면 2: 반동의 시대,역사/문화,소설
노인과 바다,소설,소설
SQL 자격검정 실전문제,컴퓨터/IT,취업/수험서
사랑,시/에세이,소설
내가 만든 두려움과 싸우지 말 것,자기계발,소설
5번 레인,어린이(초등),소설
소원 송편,유아(0~7세),소설
2027 이동기 영어 문법 500제 + 핵심문법 44포인트 요약노트,취업/수험서,취업/수험서
캔들차트 하나로 끝내는 추세추종 투자,경제/경영,취업/수험서
"2027 심승아 Simple, Detail 소방관계법규 심출기몰 기출문제집",취업/수험서,취업/수험서
룩 백,만화,소설
어서 와 수평선 2,만화,소설
먼저 온 미래,인문,소설
행복할 거야 이래도 되나 싶을 정도로(10만 부 기념 교보문고 단독 리커버),시/에세이,소설
불편한 편의점(벚꽃 에디션),소설,소설
마더북,시/에세이,소설
끝나지 않는 노래,소설,인문
손절사회,정치/사회,소설
초조한 마음,소설,소설
출근의 비밀(양장본 Hardcover),인문,소설
2026 이지패스 ADsP 데이터분석 준전문가,컴퓨터/IT,취업/수험서
삐뽀삐뽀 119 소아과,가정/육아,소설
항상 기분 좋은 사람은 이렇게 말한다,자기계발,소설
초풍요의 시대,경제/경영,소설
행동하지 않으면 인생은 바뀌지 않는다,자기계발,소설
JLPT(일본어능력시험) 한권으로 끝내기 N5,외국어,외국어
고래,소설,소설
ㄱ 에디션 레더 펜슬케이스 (브라운),교보문고 굿즈,소설
2026 지텔프 공식 기출문제집 7회분 Level 2,외국어,취업/수험서
니체와 함께 지적 대화를,인문,소설
포켓몬 대도감 1020+,어린이(초등),소설
흑무경담 3,만화,소설
2027 이동기 영어 구문 330제,취업/수험서,취업/수험서
똑똑한 학교생활 도감,어린이(초등),소설
사고외주,인문,소설
작별하지 않는다,소설,소설
오십에 읽는 동의보감,인문,인문
불행에 몰두하지 않는다,시/에세이,소설
가장 나다운 공부,청소년,소설
운명은 의심을 멈추는 순간 시작된다,인문,소설
저스트킵바잉,경제/경영,소설
1984,소설,소설
인간병법,자기계발,소설
켈리지텔프 G-POINT 33: 문법편,외국어,소설
백년허리 2: 치료편,건강,소설
2027 핵심정리 노동법,취업/수험서,취업/수험서
스파이 패밀리 17,만화,소설
너무 시끄러운 고독,소설,소설
클로드 에이전트 협업의 기술,컴퓨터/IT,소설
다크 심리학(20만 부 한정판 스페셜 에디션),인문,인문
운이 좋은 사람은 이렇게 합니다,자기계발,소설
자기 앞의 생,소설,소설
데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),자기계발,인문
2027 이진형 소방학개론 한권으로 끝내는 한끝 기출완성,취업/수험서,취업/수험서
넛지(파이널 에디션),경제/경영,소설
인생의 짧음에 대하여,인문,소설
2027 해커스경찰 킹재규 경찰학 핵심 Subnote,취업/수험서,취업/수험서
향기로운 꽃은 늠름하게 핀다 22,만화,소설
짐 크레이머의 시장을 이기는 투자,경제/경영,소설
참을 수 없는 존재의 가벼움(리커버판),소설,소설
내가 틀릴 수도 있습니다,인문,인문
혼잡(JOB) 금융 NCS를 위한 피셋 PSAT 300제,취업/수험서,취업/수험서
유럽 도시 기행 3,인문,소설
명료함,자기계발,소설
EBS 귀가 트이는 영어 (2026년 10월),잡지,취업/수험서
성령의 얼굴,종교,소설
전설로 떠나는 월가의 영웅,경제/경영,소설
부의 갈림길,경제/경영,경제/경영
수원에서의 나날,시/에세이,소설
김재우의 기본 동사 100,외국어,소설
연명치료는 사양하겠습니다,정치/사회,소설
통증의 역설,기술/공학,소설
나르치스와 골드문트,소설,소설
푸른 사자 와니니 8: 갈라진 앞발들,어린이(초등),소설
폭풍의 언덕,소설,소설
순례 주택,청소년,소설
